classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
336915882,bethany.phillips,2091290,6ba89aec529b4f3d05be,17287,Duck/Goose/Crane,39.71,2021-05-28 08:41:47 UTC,,,"{""source"":""api"",""session"":""c3ee039bcd137189c1683ca54735fc5553eb1c222fe704901c5854aa53132632"",""viewport"":{""width"":1440,""height"":740},""started_at"":""2021-05-28T08:41:39.935Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-05-28T08:41:45.759Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":684,""clientHeight"":521,""naturalWidth"":684,""naturalHeight"":521}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-05-28T08:35:52.068Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""41322""}","[{""task"":""T1"",""task_label"":""Draw a rectangle around each individual bird that you see. Make sure every bird in the image has a rectangle before clicking \""Done\"""",""value"":[{""x"":575.9765625,""y"":265.39453125,""tool"":0,""frame"":0,""width"":79.1796875,""height"":94.40625,""details"":[],""tool_label"":""Duck""}]},{""task"":""T2"",""task_label"":""Do you think you have labeled all the birds in the image?"",""value"":""Yes""}]","{""60189910"":{""retired"":{""id"":83317621,""workflow_id"":17287,""classifications_count"":10,""created_at"":""2021-05-01T08:28:36.300Z"",""updated_at"":""2021-09-13T20:02:53.040Z"",""retired_at"":""2021-09-13T20:02:53.031Z"",""subject_id"":60189910,""retirement_reason"":""classification_count""},""Filename"":""BDA_18a4_20181106_2_00425_05_06.png""}}",60189910
336915897,Gdesousajunior,2313201,0f23fb787db0b980ad29,17287,Duck/Goose/Crane,39.71,2021-05-28 08:41:59 UTC,,,"{""source"":""api"",""session"":""16f7d2d1acd03188152b617c6b8ef85bce3d4788eab4d1a255c9a8f6b3c5a756"",""viewport"":{""width"":1001,""height"":570},""started_at"":""2021-05-28T08:41:46.602Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-05-28T08:41:59.025Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":494,""clientHeight"":377,""naturalWidth"":684,""naturalHeight"":521}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-05-28T08:39:39.053Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""41322""}","[{""task"":""T1"",""task_label"":""Draw a rectangle around each individual bird that you see. Make sure every bird in the image has a rectangle before clicking \""Done\"""",""value"":[]},{""task"":""T2"",""task_label"":""Do you think you have labeled all the birds in the image?"",""value"":""No (too many, some could be blending in, etc)""}]","{""60184384"":{""retired"":{""id"":83324914,""workflow_id"":17287,""classifications_count"":10,""created_at"":""2021-05-01T16:29:36.486Z"",""updated_at"":""2021-10-19T23:20:05.712Z"",""retired_at"":""2021-10-19T23:20:05.701Z"",""subject_id"":60184384,""retirement_reason"":""classification_count""},""Filename"":""BDA_12c_20181113_2_00760_07_06.png""}}",60184384
336915928,pascalgastaud,2313184,c57c984c2ac2452b8e2a,17287,Duck/Goose/Crane,39.71,2021-05-28 08:42:18 UTC,,,"{""source"":""api"",""session"":""9941508fb148f17f27c1a6db4813131c498b16f3808453f27e5e183a3c9e5dad"",""viewport"":{""width"":877,""height"":733},""started_at"":""2021-05-28T08:41:32.198Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-05-28T08:42:18.325Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":684,""clientHeight"":521,""naturalWidth"":684,""naturalHeight"":521}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-05-28T08:32:28.052Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""41322""}","[{""task"":""T1"",""task_label"":""Draw a rectangle around each individual bird that you see. Make sure every bird in the image has a rectangle before clicking \""Done\"""",""value"":[{""x"":185.109375,""y"":124.38671875,""tool"":0,""frame"":0,""width"":62.6328125,""height"":30.52734375,""details"":[],""tool_label"":""Duck""},{""x"":5.06640625,""y"":223.09765625,""tool"":0,""frame"":0,""width"":42.37109375,""height"":51.4453125,""details"":[],""tool_label"":""Duck""},{""x"":1.75390625,""y"":317.02734375,""tool"":0,""frame"":0,""width"":53.32421875,""height"":56.390625,""details"":[],""tool_label"":""Duck""},{""x"":368.42578125,""y"":149.796875,""tool"":0,""frame"":0,""width"":61.16015625,""height"":36.3046875,""details"":[],""tool_label"":""Duck""},{""x"":322.69921875,""y"":39.5390625,""tool"":0,""frame"":0,""width"":81.23046875,""height"":34.07421875,""details"":[],""tool_label"":""Duck""},{""x"":509.6328125,""y"":189.3984375,""tool"":0,""frame"":0,""width"":70.2265625,""height"":31.53515625,""details"":[],""tool_label"":""Duck""},{""x"":490.140625,""y"":261.484375,""tool"":0,""frame"":0,""width"":76.5390625,""height"":27.76171875,""details"":[],""tool_label"":""Duck""},{""x"":402.88671875,""y"":329.359375,""tool"":0,""frame"":0,""width"":90.72265625,""height"":40.3671875,""details"":[],""tool_label"":""Duck""}]},{""task"":""T2"",""task_label"":""Do you think you have labeled all the birds in the image?"",""value"":""Yes""}]","{""60590925"":{""retired"":{""id"":83308980,""workflow_id"":17287,""classifications_count"":10,""created_at"":""2021-04-30T23:00:25.777Z"",""updated_at"":""2021-08-28T01:20:28.702Z"",""retired_at"":""2021-08-28T01:20:28.697Z"",""subject_id"":60590925,""retirement_reason"":""classification_count""},""Filename"":""BDA_unknown_20181106_1_00154_06_01.png""}}",60590925
336915932,Gdesousajunior,2313201,0f23fb787db0b980ad29,17287,Duck/Goose/Crane,39.71,2021-05-28 08:42:19 UTC,,,"{""source"":""api"",""session"":""16f7d2d1acd03188152b617c6b8ef85bce3d4788eab4d1a255c9a8f6b3c5a756"",""viewport"":{""width"":1001,""height"":570},""started_at"":""2021-05-28T08:41:59.111Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-05-28T08:42:19.745Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":494,""clientHeight"":377,""naturalWidth"":684,""naturalHeight"":521}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-05-28T08:39:39.053Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""41322""}","[{""task"":""T1"",""task_label"":""Draw a rectangle around each individual bird that you see. Make sure every bird in the image has a rectangle before clicking \""Done\"""",""value"":[{""x"":325.5478210449219,""y"":270.52587890625,""tool"":0,""frame"":0,""width"":73.85104370117188,""height"":72.52145385742188,""details"":[],""tool_label"":""Duck""},{""x"":336.7303161621094,""y"":401.5649719238281,""tool"":0,""frame"":0,""width"":61.29571533203125,""height"":93.30828857421875,""details"":[],""tool_label"":""Duck""}]},{""task"":""T2"",""task_label"":""Do you think you have labeled all the birds in the image?"",""value"":""Yes""}]","{""60587789"":{""retired"":{""id"":83309879,""workflow_id"":17287,""classifications_count"":10,""created_at"":""2021-04-30T23:58:10.700Z"",""updated_at"":""2021-10-07T22:47:06.229Z"",""retired_at"":""2021-10-07T22:47:06.223Z"",""subject_id"":60587789,""retirement_reason"":""classification_count""},""Filename"":""BDA_unknown_20181106_1_00034_06_03.png""}}",60587789
336915939,Cedric1,2313202,61170320287f767816f2,17287,Duck/Goose/Crane,39.71,2021-05-28 08:42:23 UTC,,,"{""source"":""api"",""session"":""a5c922057d03cc85d9fd2345c47860634036cf2d43b09cf0326a7d55c5e224e1"",""viewport"":{""width"":1440,""height"":686},""started_at"":""2021-05-28T08:41:43.229Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-05-28T08:42:21.472Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":684,""clientHeight"":521,""naturalWidth"":684,""naturalHeight"":521}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-05-28T08:41:39.072Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""41322""}","[{""task"":""T1"",""task_label"":""Draw a rectangle around each individual bird that you see. Make sure every bird in the image has a rectangle before clicking \""Done\"""",""value"":[{""x"":207.77734375,""y"":2.83984375,""tool"":0,""frame"":0,""width"":49.7421875,""height"":16.66015625,""details"":[],""tool_label"":""Duck""},{""x"":225.41796875,""y"":52.8046875,""tool"":0,""frame"":0,""width"":32.66796875,""height"":32.36328125,""details"":[],""tool_label"":""Duck""},{""x"":269.51171875,""y"":37.29296875,""tool"":0,""frame"":0,""width"":30.5234375,""height"":32.2265625,""details"":[],""tool_label"":""Duck""},{""x"":458.16015625,""y"":3.140625,""tool"":0,""frame"":0,""width"":16.49609375,""height"":9.37890625,""details"":[],""tool_label"":""Duck""},{""x"":453.125,""y"":40.58984375,""tool"":0,""frame"":0,""width"":29.5078125,""height"":39.984375,""details"":[],""tool_label"":""Duck""},{""x"":410.8984375,""y"":101.13671875,""tool"":0,""frame"":0,""width"":26.203125,""height"":17.015625,""details"":[],""tool_label"":""Duck""},{""x"":616.77734375,""y"":7.44140625,""tool"":0,""frame"":0,""width"":16.984375,""height"":28.09765625,""details"":[],""tool_label"":""Duck""},{""x"":567.7265625,""y"":33.6171875,""tool"":0,""frame"":0,""width"":18.38671875,""height"":28.84765625,""details"":[],""tool_label"":""Duck""},{""x"":603.91015625,""y"":96.66015625,""tool"":0,""frame"":0,""width"":14.62890625,""height"":19.83984375,""details"":[],""tool_label"":""Duck""},{""x"":641.8515625,""y"":158.6875,""tool"":0,""frame"":0,""width"":16.95703125,""height"":38.609375,""details"":[],""tool_label"":""Duck""},{""x"":571.85546875,""y"":143.6953125,""tool"":0,""frame"":0,""width"":29.82421875,""height"":39.5,""details"":[],""tool_label"":""Duck""},{""x"":530.63671875,""y"":114.03515625,""tool"":0,""frame"":0,""width"":26.77734375,""height"":24.98046875,""details"":[],""tool_label"":""Duck""},{""x"":494.91796875,""y"":307.38671875,""tool"":0,""frame"":0,""width"":26.10546875,""height"":30.41015625,""details"":[],""tool_label"":""Duck""},{""x"":603.2578125,""y"":321.5234375,""tool"":0,""frame"":0,""width"":12.51953125,""height"":42.95703125,""details"":[],""tool_label"":""Duck""},{""x"":501.078125,""y"":212.95703125,""tool"":0,""frame"":0,""width"":27.29296875,""height"":21.21875,""details"":[],""tool_label"":""Duck""},{""x"":426.85546875,""y"":201.84375,""tool"":0,""frame"":0,""width"":19.44140625,""height"":30.45703125,""details"":[],""tool_label"":""Duck""},{""x"":436.59765625,""y"":267.359375,""tool"":0,""frame"":0,""width"":17.14453125,""height"":33.625,""details"":[],""tool_label"":""Duck""},{""x"":422.94140625,""y"":321.078125,""tool"":0,""frame"":0,""width"":12.9140625,""height"":29.25,""details"":[],""tool_label"":""Duck""},{""x"":172.58203125,""y"":488.671875,""tool"":0,""frame"":0,""width"":22.5546875,""height"":14.34375,""details"":[],""tool_label"":""Duck""},{""x"":120.4375,""y"":311.92578125,""tool"":0,""frame"":0,""width"":32.2890625,""height"":29.4140625,""details"":[],""tool_label"":""Duck""}]},{""task"":""T2"",""task_label"":""Do you think you have labeled all the birds in the image?"",""value"":""No (too many, some could be blending in, etc)""}]","{""60186064"":{""retired"":{""id"":83304818,""workflow_id"":17287,""classifications_count"":10,""created_at"":""2021-04-30T19:10:03.523Z"",""updated_at"":""2021-10-16T14:04:25.670Z"",""retired_at"":""2021-10-16T14:04:25.659Z"",""subject_id"":60186064,""retirement_reason"":""classification_count""},""Filename"":""BDA_12c_20181113_2_00857_05_05.png""}}",60186064
336915942,AshwiniSingh,2142076,30bb2545e7be2f694394,17287,Duck/Goose/Crane,39.71,2021-05-28 08:42:24 UTC,,,"{""source"":""api"",""session"":""6ac31f851ce84f02dc65af081182ba99a316fc59b0debbed329d2e5b6c5f47d0"",""viewport"":{""width"":1440,""height"":789},""started_at"":""2021-05-28T08:39:21.982Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"",""utc_offset"":""-19800"",""finished_at"":""2021-05-28T08:42:23.875Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":684,""clientHeight"":521,""naturalWidth"":684,""naturalHeight"":521}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-05-28T08:39:21.853Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""41322""}","[{""task"":""T1"",""task_label"":""Draw a rectangle around each individual bird that you see. Make sure every bird in the image has a rectangle before clicking \""Done\"""",""value"":[{""x"":397.22265625,""y"":161.796875,""tool"":0,""frame"":0,""width"":27.80859375,""height"":9.33984375,""details"":[],""tool_label"":""Duck""},{""x"":417.8984375,""y"":147.35546875,""tool"":0,""frame"":0,""width"":55.66015625,""height"":62.4296875,""details"":[],""tool_label"":""Duck""},{""x"":463.83203125,""y"":241.48046875,""tool"":0,""frame"":0,""width"":66.375,""height"":62.87890625,""details"":[],""tool_label"":""Duck""},{""x"":307.1015625,""y"":253.46875,""tool"":0,""frame"":0,""width"":38.41796875,""height"":71.48046875,""details"":[],""tool_label"":""Duck""}]},{""task"":""T2"",""task_label"":""Do you think you have labeled all the birds in the image?"",""value"":null}]","{""60185244"":{""retired"":{""id"":83308711,""workflow_id"":17287,""classifications_count"":10,""created_at"":""2021-04-30T22:43:19.143Z"",""updated_at"":""2021-10-13T08:10:37.794Z"",""retired_at"":""2021-10-13T08:10:37.785Z"",""subject_id"":60185244,""retirement_reason"":""classification_count""},""Filename"":""BDA_12c_20181113_2_00814_02_07.png""}}",60185244
336915949,Gdesousajunior,2313201,0f23fb787db0b980ad29,17287,Duck/Goose/Crane,39.71,2021-05-28 08:42:29 UTC,,,"{""source"":""api"",""session"":""16f7d2d1acd03188152b617c6b8ef85bce3d4788eab4d1a255c9a8f6b3c5a756"",""viewport"":{""width"":1001,""height"":570},""started_at"":""2021-05-28T08:42:19.774Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-05-28T08:42:29.557Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":494,""clientHeight"":377,""naturalWidth"":684,""naturalHeight"":521}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-05-28T08:39:39.053Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""41322""}","[{""task"":""T1"",""task_label"":""Draw a rectangle around each individual bird that you see. Make sure every bird in the image has a rectangle before clicking \""Done\"""",""value"":[{""x"":161.3179168701172,""y"":261.3755798339844,""tool"":0,""frame"":0,""width"":82.08251953125,""height"":80.23406982421875,""details"":[],""tool_label"":""Duck""},{""x"":572.2007446289062,""y"":449.5162658691406,""tool"":0,""frame"":0,""width"":75.39678955078125,""height"":91.25985717773438,""details"":[],""tool_label"":""Duck""}]},{""task"":""T2"",""task_label"":""Do you think you have labeled all the birds in the image?"",""value"":""Yes""}]","{""60594061"":{""retired"":{""id"":83313442,""workflow_id"":17287,""classifications_count"":10,""created_at"":""2021-05-01T03:52:58.527Z"",""updated_at"":""2021-09-20T00:22:29.767Z"",""retired_at"":""2021-09-20T00:22:29.760Z"",""subject_id"":60594061,""retirement_reason"":""classification_count""},""Filename"":""BDA_unknown_20181106_1_00177_02_08.png""}}",60594061
336915955,Cedric1,2313202,61170320287f767816f2,17287,Duck/Goose/Crane,39.71,2021-05-28 08:42:34 UTC,,,"{""source"":""api"",""session"":""a5c922057d03cc85d9fd2345c47860634036cf2d43b09cf0326a7d55c5e224e1"",""viewport"":{""width"":1440,""height"":686},""started_at"":""2021-05-28T08:42:21.503Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-05-28T08:42:32.771Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":684,""clientHeight"":521,""naturalWidth"":684,""naturalHeight"":521}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-05-28T08:41:39.072Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""41322""}","[{""task"":""T1"",""task_label"":""Draw a rectangle around each individual bird that you see. Make sure every bird in the image has a rectangle before clicking \""Done\"""",""value"":[{""x"":308.2578125,""y"":398.51171875,""tool"":0,""frame"":0,""width"":85.29296875,""height"":58.5859375,""details"":[],""tool_label"":""Duck""},{""x"":307.78515625,""y"":113.6328125,""tool"":0,""frame"":0,""width"":48.25390625,""height"":118.046875,""details"":[],""tool_label"":""Duck""},{""x"":14.86328125,""y"":275.1015625,""tool"":0,""frame"":0,""width"":63.8828125,""height"":56.69921875,""details"":[],""tool_label"":""Duck""},{""x"":72.375,""y"":6.72265625,""tool"":0,""frame"":0,""width"":84.83984375,""height"":16.1796875,""details"":[],""tool_label"":""Duck""}]},{""task"":""T2"",""task_label"":""Do you think you have labeled all the birds in the image?"",""value"":""Yes""}]","{""60588455"":{""retired"":{""id"":83322509,""workflow_id"":17287,""classifications_count"":10,""created_at"":""2021-05-01T13:48:49.345Z"",""updated_at"":""2021-09-30T15:08:16.261Z"",""retired_at"":""2021-09-30T15:08:16.253Z"",""subject_id"":60588455,""retirement_reason"":""classification_count""},""Filename"":""BDA_unknown_20181106_1_00075_01_02.png""}}",60588455
336915966,Gdesousajunior,2313201,0f23fb787db0b980ad29,17287,Duck/Goose/Crane,39.71,2021-05-28 08:42:41 UTC,,,"{""source"":""api"",""session"":""16f7d2d1acd03188152b617c6b8ef85bce3d4788eab4d1a255c9a8f6b3c5a756"",""viewport"":{""width"":1001,""height"":570},""started_at"":""2021-05-28T08:42:30.252Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-05-28T08:42:41.660Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":494,""clientHeight"":377,""naturalWidth"":684,""naturalHeight"":521}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-05-28T08:39:39.053Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""41322""}","[{""task"":""T1"",""task_label"":""Draw a rectangle around each individual bird that you see. Make sure every bird in the image has a rectangle before clicking \""Done\"""",""value"":[{""x"":129.3756103515625,""y"":386.0478210449219,""tool"":0,""frame"":0,""width"":77.01824951171875,""height"":87.29275512695312,""details"":[],""tool_label"":""Duck""}]},{""task"":""T2"",""task_label"":""Do you think you have labeled all the birds in the image?"",""value"":""Yes""}]","{""60582921"":{""retired"":{""id"":83320967,""workflow_id"":17287,""classifications_count"":10,""created_at"":""2021-05-01T12:06:06.675Z"",""updated_at"":""2021-10-15T17:33:54.728Z"",""retired_at"":""2021-10-15T17:33:54.720Z"",""subject_id"":60582921,""retirement_reason"":""classification_count""},""Filename"":""BDA_18a4_20181106_3_00664_02_07.png""}}",60582921
336915974,pascalgastaud,2313184,c57c984c2ac2452b8e2a,17287,Duck/Goose/Crane,39.71,2021-05-28 08:42:46 UTC,,,"{""source"":""api"",""session"":""9941508fb148f17f27c1a6db4813131c498b16f3808453f27e5e183a3c9e5dad"",""viewport"":{""width"":877,""height"":733},""started_at"":""2021-05-28T08:42:18.344Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-05-28T08:42:46.404Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":684,""clientHeight"":521,""naturalWidth"":684,""naturalHeight"":521}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-05-28T08:32:28.052Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""41322""}","[{""task"":""T1"",""task_label"":""Draw a rectangle around each individual bird that you see. Make sure every bird in the image has a rectangle before clicking \""Done\"""",""value"":[{""x"":290.08203125,""y"":27.75390625,""tool"":0,""frame"":0,""width"":26.1640625,""height"":65.95703125,""details"":[],""tool_label"":""Duck""},{""x"":394.37109375,""y"":71.07421875,""tool"":0,""frame"":0,""width"":52.796875,""height"":42.171875,""details"":[],""tool_label"":""Duck""},{""x"":260.33984375,""y"":257.18359375,""tool"":0,""frame"":0,""width"":80.46875,""height"":46.2265625,""details"":[],""tool_label"":""Duck""},{""x"":349.5390625,""y"":371.69921875,""tool"":0,""frame"":0,""width"":32.859375,""height"":61.1328125,""details"":[],""tool_label"":""Duck""},{""x"":512.3671875,""y"":271.76171875,""tool"":0,""frame"":0,""width"":64.15234375,""height"":37.2890625,""details"":[],""tool_label"":""Duck""},{""x"":529.74609375,""y"":327.25,""tool"":0,""frame"":0,""width"":64.1875,""height"":33.55859375,""details"":[],""tool_label"":""Duck""},{""x"":128.66015625,""y"":-9.7421875,""tool"":0,""frame"":0,""width"":45.3984375,""height"":44.00390625,""details"":[],""tool_label"":""Duck""}]},{""task"":""T2"",""task_label"":""Do you think you have labeled all the birds in the image?"",""value"":""Yes""}]","{""60588462"":{""retired"":{""id"":83311728,""workflow_id"":17287,""classifications_count"":10,""created_at"":""2021-05-01T01:58:05.280Z"",""updated_at"":""2021-08-17T02:29:57.346Z"",""retired_at"":""2021-08-17T02:29:57.339Z"",""subject_id"":60588462,""retirement_reason"":""classification_count""},""Filename"":""BDA_unknown_20181106_1_00075_02_01.png""}}",60588462
336915979,Cedric1,2313202,61170320287f767816f2,17287,Duck/Goose/Crane,39.71,2021-05-28 08:42:49 UTC,,,"{""source"":""api"",""session"":""a5c922057d03cc85d9fd2345c47860634036cf2d43b09cf0326a7d55c5e224e1"",""viewport"":{""width"":1440,""height"":686},""started_at"":""2021-05-28T08:42:32.818Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"",""utc_offset"":""-3600"",""finished_at"":""2021-05-28T08:42:47.691Z"",""live_project"":true,""interventions"":{""opt_in"":true,""messageShown"":false},""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":684,""clientHeight"":521,""naturalWidth"":684,""naturalHeight"":521}],""subject_selection_state"":{""retired"":false,""selected_at"":""2021-05-28T08:41:39.072Z"",""already_seen"":false,""selection_state"":""normal"",""finished_workflow"":false,""user_has_finished_workflow"":false},""workflow_translation_id"":""41322""}","[{""task"":""T1"",""task_label"":""Draw a rectangle around each individual bird that you see. Make sure every bird in the image has a rectangle before clicking \""Done\"""",""value"":[{""x"":11.78515625,""y"":91.04296875,""tool"":0,""frame"":0,""width"":44.51171875,""height"":43.39453125,""details"":[],""tool_label"":""Duck""},{""x"":196.98046875,""y"":56.69921875,""tool"":0,""frame"":0,""width"":61.62890625,""height"":37.26171875,""details"":[],""tool_label"":""Duck""},{""x"":293.65625,""y"":142.85546875,""tool"":0,""frame"":0,""width"":56.47265625,""height"":48.48828125,""details"":[],""tool_label"":""Duck""},{""x"":262.58984375,""y"":451.9453125,""tool"":0,""frame"":0,""width"":66.17578125,""height"":55.39453125,""details"":[],""tool_label"":""Duck""},{""x"":144.29296875,""y"":434.96875,""tool"":0,""frame"":0,""width"":29.41015625,""height"":28.61328125,""details"":[],""tool_label"":""Duck""},{""x"":370.234375,""y"":428.26953125,""tool"":0,""frame"":0,""width"":39.00390625,""height"":35.12890625,""details"":[],""tool_label"":""Duck""},{""x"":426.671875,""y"":411.38671875,""tool"":0,""frame"":0,""width"":36.52734375,""height"":46.44140625,""details"":[],""tool_label"":""Duck""}]},{""task"":""T2"",""task_label"":""Do you think you have labeled all the birds in the image?"",""value"":""No (too many, some could be blending in, etc)""}]","{""60187369"":{""retired"":{""id"":83322460,""workflow_id"":17287,""classifications_count"":10,""created_at"":""2021-05-01T13:45:50.241Z"",""updated_at"":""2021-10-04T11:07:14.061Z"",""retired_at"":""2021-10-04T11:07:14.054Z"",""subject_id"":60187369,""retirement_reason"":""classification_count""},""Filename"":""BDA_18a4_20181106_2_00341_03_06.png""}}",60187369
